Lead ID,Business Name,Email,Website,Industry,Country,Status,Emails Sent,Last Email Date,Last Subject,Next Follow-up,Source,Notes
RR-20260906-001,Law Office of KG,kim@lawofficeofkg.com,www.lawofficeofkg.com,Law,US,Contacted,1,2026-09-06,Quick SEO idea for Law Office of KG ,2026-09-09,Zoho contact@rankray.com,
RR-20260906-002,Build It ATX,sales@builditatx.com,builditatx.com,Home Services,US,Contacted,1,2026-09-06,Ranking for deck and fence searches ,2026-09-09,Zoho contact@rankray.com,
RR-20260906-003,Smiles by Dr Jackie,staff@jackieobeirnedental.com,smilesbydrjackie.com,Dental,US,Contacted,1,2026-09-06,Quick SEO idea for Smiles by Dr. Jac,2026-09-09,Zoho contact@rankray.com,
RR-20260906-004,Hey Dental,reception@heydental.ae,heydental.ae,Dental,UAE,Contacted,1,2026-09-06,SEO retainer idea for Hey Dental (JL,2026-09-09,Zoho contact@rankray.com,
RR-20260906-005,Isaacson & Partners,info@isaacsonpartners.com,isaacsonpartners.com,Law,UK,Contacted,1,2026-09-06,Quick SEO idea for Isaacson & Partne,2026-09-09,Zoho contact@rankray.com,
RR-20260906-006,Sarcee Family Dental,info@sarceefamilydental.com,www.sarceefamilydental.com,Dental,CA,Contacted,1,2026-09-06,Quick SEO idea for Sarcee Family Den,2026-09-09,Zoho contact@rankray.com,
RR-20260906-007,Sterling Prime Properties,info@sterlingprime.ae,sterlingprime.ae,Real Estate,UAE,Contacted,1,2026-09-06,SEO idea for Sterling Prime Properti,2026-09-09,Zoho contact@rankray.com,
RR-20260906-008,SD Plumbing & Heating,info@sdplumbingandheating.com,www.sdplumbingandheating.com,Home Services,UK,Contacted,1,2026-09-06,Quick SEO idea for SD Plumbing Edinb,2026-09-09,Zoho contact@rankray.com,
RR-20260906-009,Kapow Meggings,info@kapowmeggings.com,kapowmeggings.co.uk,Ecommerce,UK,Contacted,1,2026-09-06,SEO retainer idea for Kapow Meggings,2026-09-09,Zoho contact@rankray.com,
RR-20260906-010,RealWorth Properties,info@realworthproperties.com,realworthproperties.com,Real Estate,UAE,Contacted,1,2026-09-06,SEO retainer idea for RealWorth Prop,2026-09-09,Zoho contact@rankray.com,
RR-20260906-011,Austin Buyers Agents,luke@austinbuyersagents.com,austinbuyersagents.com.au,Real Estate,AU,Contacted,1,2026-09-06,SEO for Austin Buyers Agents,2026-09-09,Zoho contact@rankray.com,
RR-20260906-012,ELITEMVMT,brandon@elitemvmt.com,elitemvmt.com,Clinic,CA,Contacted,1,2026-09-06,SEO for ELITE MVMT,2026-09-09,Zoho contact@rankray.com,
RR-20260906-013,Koman Dental Denver,Frontdesk@komandentaldenver.com,komandentaldenver.com,Dental,US,Contacted,1,2026-09-06,Quick idea for Koman Dental implant ,2026-09-09,Zoho contact@rankray.com,
RR-20260906-014,ATX Family Dental,info@atxfamilydental.com,www.atxfamilydental.com,Dental,US,Contacted,1,2026-09-06,Independent Austin dentistry search ,2026-09-09,Zoho contact@rankray.com,
