Lead ID,Date Added,Business Name,Contact Person,Phone,Website,Address,Industry,Target City,Pain Points,Proposed Solution,Grade,Status,Email Draft,Responded,Meeting Scheduled,Closed,Notes
RR-USA-20260508-001,2026-05-08,Hub Plumbing & Heating,,917-634-8888,hubplumbingnyc.com,New York City NY,Plumbing/HVAC,New York City,Website uses old-school design no blog/content marketing missing local SEO schema no chat widget,Modern responsive website with emergency booking local SEO for plumber NYC terms content calendar,B,New Lead,"Hi there I noticed Hub Plumbing serves NYC with your red carpet service but your website isn't showing up in local searches as well as it could. We help plumbing companies rank higher on Google Maps and get more emergency calls. Would you be open to a quick chat about local SEO?",No,,,Plumbing company with 25+ years experience needs digital presence upgrade
RR-USA-20260508-002,2026-05-08,Plumbing & Heating NYC Corp,,718-837-4444,plumbingandheatingnyc.com,New York City NY,Plumbing,New York City,Very basic website template no SSL certificate visible duplicate content issues no customer reviews integration,Secure professional website review management system Google Business Profile optimization,C,New Lead,"I came across your plumbing company while researching NYC plumbers. Your website could use some security updates and better Google visibility to compete with bigger names. We specialize in helping local plumbers get found online. Interested in a free audit?",No,,,Basic plumbing company needs website overhaul
RR-USA-20260508-003,2026-05-08,Sam Wexler Plumbing,,267-668-4806,samwexlerplumbing.com,Philadelphia/NYC,Plumbing,New York City,Site built on hibu template (limited SEO control) slow loading speed no service area schema for multiple counties,Custom website with full SEO control service area landing pages speed optimization,B,New Lead,"Sam Wexler Plumbing has impressive awards and 185 years of combined experience but your current website template limits how well you can rank on Google. We build custom sites that load fast and rank higher. Want to see what's possible?",No,,,3rd generation woman-owned plumbing company
RR-USA-20260508-004,2026-05-08,Nochumson P.C.,,,nochumson.com,Philadelphia PA,Law Firm (Real Estate),New York City,HubSpot site with slow load times excessive badge images hurting Core Web Vitals no practice area specific landing pages,Performance-optimized site dedicated landing pages per practice area schema markup for legal services,A,New Lead,"I noticed Nochumson P.C. has impressive legal accolades but your website loads slowly due to all those badge images. We help law firms improve site speed and create dedicated pages for each practice area to attract more clients. Can we discuss your digital presence?",No,,,Award-winning real estate law firm
RR-USA-20260508-005,2026-05-08,Herman Goldner Co.,,,goldner.com,Philadelphia PA,Mechanical/HVAC/Plumbing,New York City,Browser no longer supported warning on homepage outdated design poor mobile experience no project portfolio SEO,Complete website modernization project case studies with SEO mobile-first design automation systems content marketing,A,New Lead,"Herman Goldner has served Philadelphia for 125+ years but your website shows a 'browser not supported' warning that likely turns away potential clients. We specialize in modernizing industrial company websites while preserving your brand heritage. Interested in a redesign discussion?",No,,,125+ year mechanical contractor
RR-USA-20260508-006,2026-05-08,Best Choice Plumbing & Heating,,215-743-1755,bestchoiceplumbingandheating.com,Philadelphia PA,Plumbing/HVAC,Los Angeles,Hibu-built site (limited customization) slow page speed no emergency service schema thin service page content,Custom build with full SEO control emergency service structured data expanded service area pages,B,New Lead,"Best Choice Plumbing has served PA and NJ since 1996 but your website runs on a limited template that caps your Google visibility. We build custom plumbing websites that rank higher and convert better. Want to see what we can do for you?",No,,,Family-owned plumbing/HVAC since 1996
RR-USA-20260508-007,2026-05-08,Villasenor Law Offices,Chris Villasenor,,sdlawfirm.net,San Diego CA,Law Firm (Personal Injury Business),Los Angeles,Good content but missing FAQ schema no chatbot for intake video testimonials not optimized weak local SEO for Poway location,FAQ schema implementation AI chatbot for lead qualification video SEO optimization dedicated location pages,A,New Lead,"Villasenor Law Offices has excellent client testimonials but your website lacks the technical SEO to rank higher in San Diego searches. We help law firms implement FAQ schema chatbots and video optimization. Can we chat about improving your digital intake?",No,,,30+ year San Diego law firm
RR-USA-20260508-008,2026-05-08,Ryan-Cruz Law,Ruth Ryan-Cruz,619-528-2202,ryancruzlaw.com,San Diego CA,Law Firm (Business Real Estate IP),Los Angeles,Slider-heavy homepage (slow) no schema markup thin blog content missing Spanish-language pages for local market,Static hero instead of slider comprehensive schema implementation bilingual content strategy regular legal blog,A,New Lead,"Ryan-Cruz Law serves San Diego with Spanish-language services but your website's slider slows down loading and you have no Spanish SEO pages. We help law firms optimize for speed and reach bilingual audiences. Interested in a free SEO audit?",No,,,San Diego business law firm Super Lawyers
RR-USA-20260508-009,2026-05-08,Purdy & Bailey LLP,,,purdybailey.com,San Diego CA,Law Firm (Business Litigation),Los Angeles,Image-heavy design without alt optimization missing attorney schema no case result content weak internal linking,Image alt optimization attorney schema markup case study content library strategic internal linking,A,New Lead,"Purdy & Bailey has 65+ years of combined experience but your website's images lack SEO optimization and you have no case study content to showcase wins. We help business law firms build content libraries that attract high-value clients. Want to learn more?",No,,,65+ years combined business litigation experience
RR-USA-20260508-010,2026-05-08,Landay Roberts LLP,,619-230-5712,landayroberts.com,San Diego CA,Law Firm (Business Personal Injury),Los Angeles,Thin service pages no blog missing local SEO for San Diego neighborhoods no lead magnet for consultations,Service page expansion legal blog for SEO neighborhood-specific landing pages consultation booking funnel,B,New Lead,"Landay Roberts LLP focuses on being problem solvers but your website has thin service pages and no blog to attract organic traffic. We help boutique law firms expand their digital presence with targeted content. Open to a quick discussion?",No,,,Boutique San Diego litigation firm
RR-USA-20260508-011,2026-05-08,The Plumbing Department,,773-617-3686,plumbingdept.com,Chicago IL,Plumbing,Chicago,Basic WordPress site no service area schema thin content on service pages missing emergency plumbing content,Service area schema expanded service content emergency plumbing landing page review integration,B,New Lead,"The Plumbing Department is known for reliability in Chicago but your website lacks emergency service pages and schema that help you show up when pipes burst at 2am. We help plumbers capture emergency searches. Can we chat?",No,,,25+ year Chicago plumbing company
RR-USA-20260508-012,2026-05-08,Lopez Plumbing Systems,,773-424-8225,lopezplumbingsystems.com,Chicago IL,Plumbing,Chicago,Very dated design poor mobile responsiveness no schema markup slow loading no online booking,Complete redesign mobile optimization structured data online scheduling system,C,New Lead,"Lopez Plumbing Systems has 50 years of combined experience but your website looks dated and doesn't work well on phones. We build modern plumbing websites that look great and rank higher. Interested in seeing some options?",No,,,Family-owned 50 years combined experience
RR-USA-20260508-013,2026-05-08,G & G Law LLC,Michelle Green,,gglawoffices.com,Chicago IL,Law Firm (Small Business),Chicago,Good content but slow HubSpot hosting missing legal schema no chat feature weak local citations,Speed optimization LegalService schema live chat for intake citation building,A,New Lead,"G & G Law has built a great reputation for small business legal services but your HubSpot site loads slowly and you're missing legal schema that helps Google understand your services. We help Chicago law firms fix these issues quickly. Want a free audit?",No,,,Small business law firm since 2011
RR-USA-20260508-014,2026-05-08,Shipley Law Group,,,shipleylawgroup.com,Chicago IL,Law Firm (Construction Business),Chicago,Thin content no blog missing construction law specific SEO no case studies,Content marketing program construction law blog case study library schema markup,B,New Lead,"Shipley Law Group focuses on construction and business law in Chicago but your website has thin content and no case studies to showcase your expertise. We help law firms build content that attracts the right clients. Open to a discussion?",No,,,Chicago construction litigation firm
RR-USA-20260508-015,2026-05-08,Adkins Lawyers PLLC,,,adkinslawyers.com,Dallas/Houston TX,Law Firm (Small Business),Houston,Basic site structure thin service pages no blog missing Houston-specific local SEO,Service page expansion Houston local SEO campaign business law blog lead generation forms,B,New Lead,"Adkins Lawyers helps small businesses in Dallas and Houston but your website has thin service pages and no blog to attract organic traffic. We help Texas law firms expand their digital reach with targeted content. Interested in learning more?",No,,,Small business law firm in Texas
