id,suggested_filename,suggested_alt,usage,current_filename,url,in_use
6,justccell-woocommerce-placeholder.webp,"Justccell Woocommerce-placeholder",,woocommerce-placeholder.webp,https://justccell.com/wp-content/uploads/woocommerce-placeholder.webp,no
57,justccell-horizontal-by-3devices.jpg,"Justccell Horizontal By 3Devices",,JustCCELL_horizontal_by_3Devices.jpg,https://justccell.com/wp-content/uploads/2026/08/JustCCELL_horizontal_by_3Devices.jpg,no
58,justccell-by-3devices.jpg,"Justccell By 3Devices",,JustCCELL_by_3Devices.jpg,https://justccell.com/wp-content/uploads/2026/08/JustCCELL_by_3Devices.jpg,no
59,justccell-photo-59.png,"Justccell Photo 59",,justccell-photo-59.png,https://justccell.com/wp-content/uploads/2026/08/justccell-photo-59.png,no
60,justccell-photo-60.png,"Justccell Photo 60",,justccell-photo-60.png,https://justccell.com/wp-content/uploads/2026/08/justccell-photo-60.png,no
61,justccell-homepage-more-arrow-icon.png,"Justccell Homepage More Arrow Icon","Homepage more arrow icon",justccell-homepage-arrow.png,https://justccell.com/wp-content/uploads/2026/08/justccell-homepage-arrow.png,yes
62,justccell-homepage-quote-section-background.jpg,"Justccell Homepage Quote Section Background","Homepage quote section background",justccell-quote-section-background.jpg,https://justccell.com/wp-content/uploads/2026/08/justccell-quote-section-background.jpg,yes
63,justccell-logo.png,"Justccell Logo",,justccell-logo.png,https://justccell.com/wp-content/uploads/2026/08/justccell-logo.png,no
64,justccell-dart-featured-image.png,"Justccell Dart Featured Image","Dart featured image",justccell-dart-catalog.png,https://justccell.com/wp-content/uploads/2026/08/justccell-dart-catalog.png,yes
65,justccell-bellos-featured-image.png,"Justccell BELLOS Featured Image","BELLOS featured image",justccell-bellos-catalog.png,https://justccell.com/wp-content/uploads/2026/08/justccell-bellos-catalog.png,yes
66,justccell-slym-featured-image.png,"Justccell Slym Featured Image","Slym featured image",justccell-slym-catalog.png,https://justccell.com/wp-content/uploads/2026/08/justccell-slym-catalog.png,yes
67,justccell-m6t-se-featured-image.png,"Justccell M6T-SE Featured Image","M6T-SE featured image",justccell-m6t-se-catalog.png,https://justccell.com/wp-content/uploads/2026/08/justccell-m6t-se-catalog.png,yes
68,justccell-sandwave-featured-image.png,"Justccell Sandwave Featured Image","Sandwave featured image",justccell-sandwave-catalog.png,https://justccell.com/wp-content/uploads/2026/08/justccell-sandwave-catalog.png,yes
69,justccell-palm-pro-featured-image.png,"Justccell Palm Pro Featured Image","Palm Pro featured image",justccell-palm-pro-catalog.png,https://justccell.com/wp-content/uploads/2026/08/justccell-palm-pro-catalog.png,yes
70,justccell-go-stik-featured-image.png,"Justccell Go Stik Featured Image","Go Stik featured image",justccell-go-stik-catalog.png,https://justccell.com/wp-content/uploads/2026/08/justccell-go-stik-catalog.png,yes
71,justccell-fino-featured-image.png,"Justccell Fino Featured Image","Fino featured image",justccell-fino-catalog.png,https://justccell.com/wp-content/uploads/2026/08/justccell-fino-catalog.png,yes
72,justccell-blanc-featured-image.png,"Justccell Blanc Featured Image","Blanc featured image",justccell-blanc-catalog.png,https://justccell.com/wp-content/uploads/2026/08/justccell-blanc-catalog.png,yes
73,justccell-m3b-plus-featured-image.png,"Justccell M3B Plus Featured Image","M3B Plus featured image",justccell-m3b-plus-catalog.png,https://justccell.com/wp-content/uploads/2026/08/justccell-m3b-plus-catalog.png,yes
74,justccell-luster-pro-featured-image.png,"Justccell Luster Pro Featured Image","Luster Pro featured image",justccell-luster-pro-catalog.png,https://justccell.com/wp-content/uploads/2026/08/justccell-luster-pro-catalog.png,yes
75,justccell-th2-evomax-featured-image.png,"Justccell TH2-EVOMAX Featured Image","TH2-EVOMAX featured image",justccell-th2-evomax-catalog.png,https://justccell.com/wp-content/uploads/2026/08/justccell-th2-evomax-catalog.png,yes
76,justccell-m6t-evomax-featured-image.png,"Justccell M6T-EVOMAX Featured Image","M6T-EVOMAX featured image",justccell-m6t-evomax-catalog.png,https://justccell.com/wp-content/uploads/2026/08/justccell-m6t-evomax-catalog.png,yes
77,justccell-tank-feature-image-05.jpg,"Justccell Tank Feature Image 05","Tank feature image 05",justccell-tank-batch-capping.jpg,https://justccell.com/wp-content/uploads/2026/08/justccell-tank-batch-capping.jpg,yes
78,justccell-tank-feature-image-04.jpg,"Justccell Tank Feature Image 04","Tank feature image 04",justccell-tank-voltage-settings.jpg,https://justccell.com/wp-content/uploads/2026/08/justccell-tank-voltage-settings.jpg,yes
79,justccell-tank-feature-image-03.jpg,"Justccell Tank Feature Image 03","Tank feature image 03",justccell-tank-leak-switch.jpg,https://justccell.com/wp-content/uploads/2026/08/justccell-tank-leak-switch.jpg,yes
80,justccell-tank-feature-image-02.jpg,"Justccell Tank Feature Image 02","Tank feature image 02",justccell-tank-oil-compatibility.jpg,https://justccell.com/wp-content/uploads/2026/08/justccell-tank-oil-compatibility.jpg,yes
81,justccell-tank-feature-image.jpg,"Justccell Tank Feature Image","Tank feature image",justccell-tank-miniature-design.jpg,https://justccell.com/wp-content/uploads/2026/08/justccell-tank-miniature-design.jpg,yes
82,justccell-tank-product-gallery-01.png,"Justccell Tank Product Gallery 01","Tank product gallery 01",justccell-tank-gallery-1.png,https://justccell.com/wp-content/uploads/2026/08/justccell-tank-gallery-1.png,yes
83,justccell-tank-featured-image.png,"Justccell Tank Featured Image","Tank featured image",justccell-tank-catalog.png,https://justccell.com/wp-content/uploads/2026/08/justccell-tank-catalog.png,yes
84,justccell-mini-tank-featured-image.png,"Justccell Mini Tank Featured Image","Mini Tank featured image",justccell-mini-tank-catalog.png,https://justccell.com/wp-content/uploads/2026/08/justccell-mini-tank-catalog.png,yes
85,justccell-th2-se-featured-image.png,"Justccell TH2-SE Featured Image","TH2-SE featured image",justccell-th2-se-catalog.png,https://justccell.com/wp-content/uploads/2026/08/justccell-th2-se-catalog.png,yes
86,justccell-ceramic-evomax-featured-image.png,"Justccell Ceramic-EVOMAX Featured Image","Ceramic-EVOMAX featured image",justccell-ceramic-evomax-catalog.png,https://justccell.com/wp-content/uploads/2026/08/justccell-ceramic-evomax-catalog.png,yes
87,justccell-tank-detail-3.jpg,"Justccell Tank Detail 3",,justccell-tank-detail-3.jpg,https://justccell.com/wp-content/uploads/2026/08/justccell-tank-detail-3.jpg,no
88,justccell-tank-product-gallery-08.png,"Justccell Tank Product Gallery 08","Tank product gallery 08",justccell-tank-gallery-8.png,https://justccell.com/wp-content/uploads/2026/08/justccell-tank-gallery-8.png,yes
89,justccell-tank-product-gallery-06.png,"Justccell Tank Product Gallery 06","Tank product gallery 06",justccell-tank-gallery-6.png,https://justccell.com/wp-content/uploads/2026/08/justccell-tank-gallery-6.png,yes
90,justccell-tank-product-gallery-05.png,"Justccell Tank Product Gallery 05","Tank product gallery 05",justccell-tank-gallery-5.png,https://justccell.com/wp-content/uploads/2026/08/justccell-tank-gallery-5.png,yes
91,justccell-tank-product-gallery-03.png,"Justccell Tank Product Gallery 03","Tank product gallery 03",justccell-tank-gallery-3.png,https://justccell.com/wp-content/uploads/2026/08/justccell-tank-gallery-3.png,yes
92,justccell-voca-pro-featured-image.png,"Justccell Voca Pro Featured Image","Voca Pro featured image",justccell-voca-pro-catalog.png,https://justccell.com/wp-content/uploads/2026/08/justccell-voca-pro-catalog.png,yes
93,justccell-tank-product-gallery-07.png,"Justccell Tank Product Gallery 07","Tank product gallery 07",justccell-tank-gallery-7.png,https://justccell.com/wp-content/uploads/2026/08/justccell-tank-gallery-7.png,yes
94,justccell-tank-product-banner.jpg,"Justccell Tank Product Banner","Tank product banner",justccell-tank-hero-banner.jpg,https://justccell.com/wp-content/uploads/2026/08/justccell-tank-hero-banner.jpg,yes
95,justccell-tank-detail-2.jpg,"Justccell Tank Detail 2",,justccell-tank-detail-2.jpg,https://justccell.com/wp-content/uploads/2026/08/justccell-tank-detail-2.jpg,no
96,justccell-tank-product-gallery-04.png,"Justccell Tank Product Gallery 04","Tank product gallery 04",justccell-tank-gallery-4.png,https://justccell.com/wp-content/uploads/2026/08/justccell-tank-gallery-4.png,yes
97,justccell-tank-product-gallery-02.png,"Justccell Tank Product Gallery 02","Tank product gallery 02",justccell-tank-gallery-2.png,https://justccell.com/wp-content/uploads/2026/08/justccell-tank-gallery-2.png,yes
98,justccell-tank-detail-1.png,"Justccell Tank Detail 1",,justccell-tank-detail-1.png,https://justccell.com/wp-content/uploads/2026/08/justccell-tank-detail-1.png,no
99,justccell-logo-dark.png,"Justccell Logo (dark)",,justccell-logo-dark.png,https://justccell.com/wp-content/uploads/2026/08/justccell-logo-dark.png,no
100,justccell-rosin-bar-featured-image.png,"Justccell Rosin Bar Featured Image","Rosin Bar featured image",justccell-rosin-bar-catalog.png,https://justccell.com/wp-content/uploads/2026/08/justccell-rosin-bar-catalog.png,yes
101,justccell-eco-star-featured-image.png,"Justccell Eco Star Featured Image","Eco Star featured image",justccell-eco-star-catalog.png,https://justccell.com/wp-content/uploads/2026/08/justccell-eco-star-catalog.png,yes
102,justccell-homepage-custom-solutions-image-02.png,"Justccell Homepage Custom Solutions Image 02","Homepage custom solutions image 02",justccell-customer-logo-2.png,https://justccell.com/wp-content/uploads/2026/08/justccell-customer-logo-2.png,yes
103,justccell-homepage-fill-capacity-image.png,"Justccell Homepage Fill Capacity Image","Homepage fill capacity image",justccell-fill-technology.png,https://justccell.com/wp-content/uploads/2026/08/justccell-fill-technology.png,yes
104,justccell-homepage-trusted-partners-image.png,"Justccell Homepage Trusted Partners Image","Homepage trusted partners image",justccell-trusted-technology.png,https://justccell.com/wp-content/uploads/2026/08/justccell-trusted-technology.png,yes
105,justccell-homepage-custom-solutions-image.png,"Justccell Homepage Custom Solutions Image","Homepage custom solutions image",justccell-customer-logo-1.png,https://justccell.com/wp-content/uploads/2026/08/justccell-customer-logo-1.png,yes
106,justccell-homepage-custom-solutions-image-03.png,"Justccell Homepage Custom Solutions Image 03","Homepage custom solutions image 03",justccell-customer-logo-3.png,https://justccell.com/wp-content/uploads/2026/08/justccell-customer-logo-3.png,yes
107,justccell-homepage-custom-solutions-image-04.png,"Justccell Homepage Custom Solutions Image 04","Homepage custom solutions image 04",justccell-customer-logo-4.png,https://justccell.com/wp-content/uploads/2026/08/justccell-customer-logo-4.png,yes
108,justccell-homepage-premium-section-image.png,"Justccell Homepage Premium Section Image","Homepage premium section image",justccell-premium-technology.png,https://justccell.com/wp-content/uploads/2026/08/justccell-premium-technology.png,yes
109,justccell-homepage-banner-3.jpg,"Justccell Homepage Banner 3",,justccell-home-banner-3.jpg,https://justccell.com/wp-content/uploads/2026/08/justccell-home-banner-3.jpg,no
110,justccell-dart-x-featured-image.png,"Justccell Dart-X Featured Image","Dart-X featured image",justccell-dart-x-catalog.png,https://justccell.com/wp-content/uploads/2026/08/justccell-dart-x-catalog.png,yes
111,justccell-stylo-featured-image.png,"Justccell Stylo Featured Image","Stylo featured image",justccell-stylo-catalog.png,https://justccell.com/wp-content/uploads/2026/08/justccell-stylo-catalog.png,yes
112,justccell-homepage-hero-banner-justccell-banner-2.jpg,"Homepage Hero Banner JUSTCCELL Banner 2","homepage hero banner JUSTCCELL banner 2",justccell-home-banner-2.jpg,https://justccell.com/wp-content/uploads/2026/08/justccell-home-banner-2.jpg,yes
113,justccell-homepage-banner-4.jpg,"Justccell Homepage Banner 4",,justccell-home-banner-4.jpg,https://justccell.com/wp-content/uploads/2026/08/justccell-home-banner-4.jpg,no
114,justccell-homepage-featured-image.jpg,"Justccell Homepage Featured Image","Homepage featured image",justccell-home-banner-1.jpg,https://justccell.com/wp-content/uploads/2026/08/justccell-home-banner-1.jpg,yes
115,justccell-tank-spin.jpg,"Justccell Tank Spin","Tank spin",tank-360-00.jpg,https://justccell.com/wp-content/uploads/2026/08/tank-360-00.jpg,yes
116,justccell-tank-spin-02.jpg,"Justccell Tank Spin 02","Tank spin 02",tank-360-01.jpg,https://justccell.com/wp-content/uploads/2026/08/tank-360-01.jpg,yes
117,justccell-tank-spin-03.jpg,"Justccell Tank Spin 03","Tank spin 03",tank-360-02.jpg,https://justccell.com/wp-content/uploads/2026/08/tank-360-02.jpg,yes
118,justccell-tank-spin-04.jpg,"Justccell Tank Spin 04","Tank spin 04",tank-360-03.jpg,https://justccell.com/wp-content/uploads/2026/08/tank-360-03.jpg,yes
119,justccell-tank-spin-05.jpg,"Justccell Tank Spin 05","Tank spin 05",tank-360-04.jpg,https://justccell.com/wp-content/uploads/2026/08/tank-360-04.jpg,yes
120,justccell-tank-spin-06.jpg,"Justccell Tank Spin 06","Tank spin 06",tank-360-05.jpg,https://justccell.com/wp-content/uploads/2026/08/tank-360-05.jpg,yes
121,justccell-tank-spin-07.jpg,"Justccell Tank Spin 07","Tank spin 07",tank-360-06.jpg,https://justccell.com/wp-content/uploads/2026/08/tank-360-06.jpg,yes
122,justccell-tank-spin-08.jpg,"Justccell Tank Spin 08","Tank spin 08",tank-360-07.jpg,https://justccell.com/wp-content/uploads/2026/08/tank-360-07.jpg,yes
123,justccell-tank-spin-09.jpg,"Justccell Tank Spin 09","Tank spin 09",tank-360-08.jpg,https://justccell.com/wp-content/uploads/2026/08/tank-360-08.jpg,yes
124,justccell-tank-spin-10.jpg,"Justccell Tank Spin 10","Tank spin 10",tank-360-09.jpg,https://justccell.com/wp-content/uploads/2026/08/tank-360-09.jpg,yes
125,justccell-tank-spin-11.jpg,"Justccell Tank Spin 11","Tank spin 11",tank-360-10.jpg,https://justccell.com/wp-content/uploads/2026/08/tank-360-10.jpg,yes
126,justccell-tank-spin-12.jpg,"Justccell Tank Spin 12","Tank spin 12",tank-360-11.jpg,https://justccell.com/wp-content/uploads/2026/08/tank-360-11.jpg,yes
127,justccell-tank-spin-13.jpg,"Justccell Tank Spin 13","Tank spin 13",tank-360-12.jpg,https://justccell.com/wp-content/uploads/2026/08/tank-360-12.jpg,yes
128,justccell-tank-spin-14.jpg,"Justccell Tank Spin 14","Tank spin 14",tank-360-13.jpg,https://justccell.com/wp-content/uploads/2026/08/tank-360-13.jpg,yes
129,justccell-tank-spin-15.jpg,"Justccell Tank Spin 15","Tank spin 15",tank-360-14.jpg,https://justccell.com/wp-content/uploads/2026/08/tank-360-14.jpg,yes
130,justccell-tank-spin-16.jpg,"Justccell Tank Spin 16","Tank spin 16",tank-360-15.jpg,https://justccell.com/wp-content/uploads/2026/08/tank-360-15.jpg,yes
131,justccell-tank-spin-17.jpg,"Justccell Tank Spin 17","Tank spin 17",tank-360-16.jpg,https://justccell.com/wp-content/uploads/2026/08/tank-360-16.jpg,yes
132,justccell-tank-spin-18.jpg,"Justccell Tank Spin 18","Tank spin 18",tank-360-17.jpg,https://justccell.com/wp-content/uploads/2026/08/tank-360-17.jpg,yes
133,justccell-tank-spin-19.jpg,"Justccell Tank Spin 19","Tank spin 19",tank-360-18.jpg,https://justccell.com/wp-content/uploads/2026/08/tank-360-18.jpg,yes
134,justccell-tank-spin-20.jpg,"Justccell Tank Spin 20","Tank spin 20",tank-360-19.jpg,https://justccell.com/wp-content/uploads/2026/08/tank-360-19.jpg,yes
135,justccell-tank-spin-21.jpg,"Justccell Tank Spin 21","Tank spin 21",tank-360-20.jpg,https://justccell.com/wp-content/uploads/2026/08/tank-360-20.jpg,yes
136,justccell-tank-spin-22.jpg,"Justccell Tank Spin 22","Tank spin 22",tank-360-21.jpg,https://justccell.com/wp-content/uploads/2026/08/tank-360-21.jpg,yes
137,justccell-tank-spin-23.jpg,"Justccell Tank Spin 23","Tank spin 23",tank-360-22.jpg,https://justccell.com/wp-content/uploads/2026/08/tank-360-22.jpg,yes
138,justccell-tank-spin-24.jpg,"Justccell Tank Spin 24","Tank spin 24",tank-360-23.jpg,https://justccell.com/wp-content/uploads/2026/08/tank-360-23.jpg,yes
139,justccell-tank-spin-25.jpg,"Justccell Tank Spin 25","Tank spin 25",tank-360-24.jpg,https://justccell.com/wp-content/uploads/2026/08/tank-360-24.jpg,yes
140,justccell-tank-spin-26.jpg,"Justccell Tank Spin 26","Tank spin 26",tank-360-25.jpg,https://justccell.com/wp-content/uploads/2026/08/tank-360-25.jpg,yes
141,justccell-tank-spin-27.jpg,"Justccell Tank Spin 27","Tank spin 27",tank-360-26.jpg,https://justccell.com/wp-content/uploads/2026/08/tank-360-26.jpg,yes
