Directory Name,URL,Category,Priority,Listing Type (Paid/Free),Status,Listing Found?,NAP Consistent?,Login Credentials,Date Checked,Date Created,Renewal Date,Notes
Google Business Profile,https://www.google.com/business,Search Engine,Critical,Free,Not Started,Needs Verification,N/A,Pending,2026-04-21,,,Verify GBP ownership for all 3 locations
Law Society of Ontario,https://lso.ca/public-register,Legal Directory,Critical,Free,Not Started,Needs Verification,N/A,Pending,2026-04-21,,,Manual check required on LSO portal
Yelp Canada,https://www.yelp.ca,Review Site,High,Free,In Progress,Yes,N/A,Pending,2026-04-21,,,3 locations found: Milton/Mississauga/Toronto - all have khanllp.com linked
YellowPages.ca,https://www.yellowpages.ca,General Directory,High,Free/Paid,In Progress,Yes,Yes,Pending,2026-04-21,,,Listing exists at 211-450 Bronte St S Milton - claim and optimize
Lawyers.com,https://www.lawyers.com,Legal Directory,High,Free,Not Started,No,N/A,Pending,2026-04-21,,,No listing found - create firm profile
Justia Lawyer Directory,https://lawyers.justia.com,Legal Directory,High,Free,Not Started,No,N/A,Pending,2026-04-21,,,No listing found - create firm + lawyer profiles
FindLaw Canada,https://www.findlaw.ca,Legal Directory,High,Free/Paid,Not Started,No,N/A,Pending,2026-04-21,,,No listing found - priority creation needed
Milton Chamber of Commerce,https://miltonchamber.ca,Chamber,High,$300-500/yr,Not Started,No,N/A,Pending,2026-04-21,,,Join for local citation
ThreeBestRated.ca,https://threebestrated.ca,Review Site,High,Free/Paid,In Progress,Yes,N/A,Pending,2026-04-21,,,Already listed in Real Estate/Immigration/Divorce - encourage more reviews
Facebook Reviews,https://www.facebook.com,Review Site,High,Free,Not Started,No,N/A,Pending,2026-04-21,,,Enable reviews on page
Canadian Lawyer Directory,https://www.canadianlawyerdirectory.com,Legal Directory,High,Free/Paid,Not Started,No,N/A,Pending,2026-04-21,,,Firm + lawyer profiles
HG.org Legal Directory,https://www.hg.org,Legal Directory,Medium,Free/Paid,Not Started,No,N/A,Pending,2026-04-21,,,List firm + practice areas
LegalMatch Canada,https://www.legalmatch.com,Legal Directory,Medium,Free,Not Started,No,N/A,Pending,2026-04-21,,,Create firm profile
411.ca,https://www.411.ca,General Directory,Medium,Free,Not Started,No,N/A,Pending,2026-04-21,,,No listing found - create business profile
Local.com,https://www.local.com,General Directory,Medium,Free,Not Started,No,N/A,Pending,2026-04-21,,,Create business profile
Oakville Chamber of Commerce,https://oakvillechamber.com,Chamber,Medium,$300-500/yr,Not Started,No,N/A,Pending,2026-04-21,,,If serving Oakville
Toronto Region Board of Trade,https://www.bot.com,Chamber,Medium,$500+/yr,Not Started,No,N/A,Pending,2026-04-21,,,For Toronto office
Trustpilot Canada,https://www.trustpilot.com,Review Site,Medium,Free,Not Started,No,N/A,Pending,2026-04-21,,,Create business profile
Ontario Bar Association,https://www.oba.org,Legal Association,High,Membership,Not Started,No,N/A,Pending,2026-04-21,,,Ensure members listed
Ontario Trial Lawyers Association,https://www.otla.org,Legal Association,High,Membership,Not Started,No,N/A,Pending,2026-04-21,,,If doing litigation
Avvo,https://www.avvo.com,Legal Directory,Medium,Free,Not Started,No,N/A,Pending,2026-04-21,,,If serving US clients
Neustar Localeze,https://www.neustarlocaleze.com,Data Aggregator,Medium,$100-300/yr,Not Started,No,N/A,Pending,2026-04-21,,,Syndicates to many sites
ICCRC Registry,https://iccrc-crcic.info,Immigration Directory,Medium,Free,Not Started,No,N/A,Pending,2026-04-21,,,If offering immigration law
Bing Places,https://www.bingplaces.com,Search Engine,High,Free,Not Started,No,N/A,Pending,2026-04-21,,,Important for Bing search
