Directory Name,URL,Category,Priority,DA,Status,Listing Found?,NAP Consistent?,Notes,Listing Type (Paid/Free)
Google Business Profile,https://www.google.com/business,Search Engine,Critical,100,Verified,Yes,Yes,Already exists - optimize posts/reviews,Free
Apple Maps Connect,https://mapsconnect.apple.com,Map Service,Critical,100,Verified,Yes,Yes,Already listed via Apple Maps,Free
Bing Places,https://www.bingplaces.com,Search Engine,Critical,52,Not Started,No,,Important for Bing search,Free
Law Society of Ontario,https://lso.ca/public-register,Legal Directory,Critical,91,Not Started,Needs Verification,,Verify all lawyers listed,Free
LSRS (Law Society Referral),https://lsrs.lso.ca/lsrs/welcome,Legal Directory,Critical,91,Not Started,No,,Free referral service listing,
Yelp Canada,https://www.yelp.ca,Review Site,High,78,In Progress,Yes,Yes,3 locations active,Free
YellowPages.ca,https://www.yellowpages.ca,General Directory,High,83,In Progress,Yes,Yes,Claim and optimize,Free/Paid
ThreeBestRated.ca,https://threebestrated.ca,Review Site,High,55,In Progress,Yes,,Already ranked in top 3,Free/Paid
LinkedIn Company Page,https://ca.linkedin.com/company/khanllp,Social Media,High,98,In Progress,Yes,Yes,Optimize content,
Canada411,https://www.canada411.ca,General Directory,High,55,In Progress,Yes,Yes,Verify NAP,Free
Lawyers.com,https://www.lawyers.com,Legal Directory,High,79,Not Started,No,,Create firm profile,Free
Justia Lawyer Directory,https://lawyers.justia.com,Legal Directory,High,92,Not Started,No,,Create firm + lawyer profiles,Free
FindLaw Canada,https://www.findlaw.ca,Legal Directory,High,90,Not Started,No,,Priority creation,Free/Paid
BBB (Better Business Bureau),https://www.bbb.org,Trust Site,High,90,Not Started,No,,Consider accreditation,$400+/yr
Ontario Bar Association,https://www.oba.org,Legal Association,High,65,Not Started,No,,Ensure members listed,Membership
Canadian Lawyer Directory,https://www.canadianlawyerdirectory.com,Legal Directory,High,50,Not Started,No,,Firm + lawyer profiles,Free/Paid
Martindale-Hubbell,https://www.martindale.com,Legal Directory,High,85,Not Started,No,,Peer review ratings,Free/Paid
Super Lawyers Canada,https://www.superlawyers.ca,Legal Directory,High,70,Not Started,No,,Rating-based listing,Paid
Best Lawyers Canada,https://www.bestlawyers.com,Legal Directory,High,75,Not Started,No,,Peer review publication,Paid
411.ca,https://www.411.ca,General Directory,Medium,52,Not Started,No,,Create business profile,Free
Weblocal.ca,https://www.weblocal.ca,General Directory,Medium,78,Not Started,No,,Canadian directory,
HotFrog Canada,https://www.hotfrog.ca,General Directory,Medium,40,Not Started,No,,Free business listing,Free
Cylex Canada,https://www.cylex.ca,General Directory,Medium,37,Not Started,No,,Free business listing,Free
N49.ca,https://www.n49.com,General Directory,Medium,48,Not Started,No,,Local business directory,Free
Manta,https://www.manta.com,General Directory,Medium,79,Not Started,No,,US-based but impacts Canada,
Foursquare,https://foursquare.com,Location Service,Medium,92,Not Started,No,,Location data source,
MapQuest,https://www.mapquest.com,Map Service,Medium,70,Not Started,No,,Submit business location,Free
Here WeGo,https://www.here.com,Map Service,Medium,75,Not Started,No,,Submit business info,Free
Waze for Business,https://www.waze.com,Map Service,Medium,85,Not Started,No,,Edit business location,Free
Trustpilot Canada,https://www.trustpilot.com,Review Site,Medium,88,Not Started,No,,Create business profile,Free
Facebook Reviews,https://www.facebook.com,Review Site,Medium,96,Not Started,No,,Enable reviews on page,Free
Google Maps,https://www.google.com/maps,Map Service,Critical,100,Verified,Yes,Yes,Exists via GBP - verify optimization,Free
Milton Chamber of Commerce,https://miltonchamber.ca,Chamber,High,51,Not Started,No,,Join for local citation,$300-500/yr
