Directory Name,URL,Category,Priority,Status,Listing Found?,Notes,Listing Type (Paid/Free)
Google Business Profile,https://www.google.com/business,Search Engine,Critical,Exists,Yes,"3 locations: Milton, Mississauga, Toronto",Free
Apple Maps,https://maps.apple.com/place?place-id=IF4F62AB566F62873,Map Service,Critical,Exists,Yes,"211-450 Bronte St S, Milton",
Google Maps,https://www.google.com/maps,Map Service,Critical,Exists,Yes,Via GBP,Free
MapQuest,https://www.mapquest.com,Map Service,High,Exists,Yes,4 location pages found,Free
Yelp Canada,https://www.yelp.ca,Review Site,High,Exists,Yes,3 locations active,Free
ThreeBestRated.ca,https://threebestrated.ca,Review Site,High,Exists,Yes,"Ranked in Real Estate, Immigration, Divorce",Free/Paid
Trustpilot,https://www.trustpilot.com/review/khanllp.com,Review Site,Medium,Exists,Yes,khanllp.com profile,
Facebook,https://www.facebook.com/khanllp,Social Media,High,Exists,Yes,2 pages: @khanllp + @KhanLawMilton,
YellowPages.ca,https://www.yellowpages.ca,General Directory,High,Exists,Yes,"211-450 Bronte St S, Milton",Free/Paid
Canada411.ca,https://www.canada411.ca,General Directory,High,Exists,Yes,Bronte St S address listed,Free
LinkedIn,https://ca.linkedin.com/company/khanllp,Social Media,High,Exists,Yes,Company page active,
Manta,https://www.manta.com/ic/m1wfybc/ca/khan-law,General Directory,Medium,Exists,Yes,Toronto listing,
Wheree.com,https://khan-law.wheree.com/,General Directory,Low,Exists,Yes,Milton location,
Maptons.com,https://is.maptons.com/p/1866429394,General Directory,Low,Exists,Yes,With phone + categories,
Canadian Law List,https://www.canadianlawlist.com/listingdetail/company/khan-law-757223/,Legal Directory,Medium,Exists,Yes,"North York listing, Faraz Khan",
HG.org,https://www.hg.org/lawyers/canada/ontario/north-york/immigration,Legal Directory,Medium,Exists,Yes,Immigration + Landlord/Tenant pages,
Justia Lawyer Directory,https://lawyers.justia.com,Legal Directory,High,Missing,No,No listing found,Free
FindLaw Canada,https://www.findlaw.ca,Legal Directory,High,Missing,No,No listing found,Free/Paid
Lawyers.com,https://www.lawyers.com,Legal Directory,High,Missing,No,No listing found,Free
Martindale-Hubbell,https://www.martindale.com,Legal Directory,High,Missing,No,No listing found,Free/Paid
Super Lawyers Canada,https://www.superlawyers.ca,Legal Directory,High,Missing,No,No listing found,Paid
Best Lawyers Canada,https://www.bestlawyers.com,Legal Directory,High,Missing,No,No listing found,Paid
Lexpert Directory,https://www.lexpert.ca,Legal Directory,Medium,Missing,No,No listing found,Paid
Legal 500 Canada,https://www.legal500.com/c/canada,Legal Directory,High,Missing,No,No listing found,
Avvo,https://www.avvo.com,Legal Directory,Medium,Missing,No,Only US Khan firms found,Free
LawyerLocate.ca,https://lawyerlocate.ca/,Legal Directory,Low,Missing,No,No listing found,
LegalMatch,https://www.legalmatch.com,Legal Directory,Medium,Missing,No,No listing found,Free
BBB,https://www.bbb.org,Trust Site,Medium,Missing,No,No accredited profile,$400+/yr
411.ca,https://www.411.ca,General Directory,Medium,Missing,No,No listing found,Free
Weblocal.ca,https://www.weblocal.ca,General Directory,Medium,Missing,No,No listing found,
HotFrog.ca,https://www.hotfrog.ca,General Directory,Low,Missing,No,No listing found,Free
Cylex.ca,https://www.cylex.ca,General Directory,Low,Missing,No,No listing found,Free
N49.com,https://www.n49.com,General Directory,Low,Missing,No,No listing found,Free
Foursquare,https://foursquare.com,Location Service,Low,Missing,No,No listing found,
Waze,https://www.waze.com,Map Service,Low,Missing,No,No listing found,Free
Here WeGo,https://www.here.com,Map Service,Low,Missing,No,No listing found,Free
Bing Places,https://www.bingplaces.com,Search Engine,High,Missing,No,No listing found,Free
PagesJaunes.ca,https://www.pagesjaunes.ca,General Directory,Medium,Exists-Different,No,Ottawa firm (Khan Law Offices) - different business,
OurBis.ca,https://www.ourbis.ca,General Directory,Low,Exists-Different,No,Imran Khan Law Office - different firm,Free
Yalwa.ca,https://www.yalwa.ca,General Directory,Low,Missing,No,No listing found,
2FindLocal.com,https://www.2findlocal.com,General Directory,Low,Exists-Different,No,Kajol Khan Law LLC (NY) - different firm,Free
ProfileCanada.com,https://www.profilecanada.com,General Directory,Low,Exists-Different,No,Khan Law Office - different firm,Free + Paid
CanPages.ca,https://www.canpages.ca,General Directory,Medium,Exists-Different,No,Khan Law Firm (Etobicoke) + Saba Khan Law - different firms,
Milton Chamber of Commerce,https://miltonchamber.ca,Chamber,High,Missing,No,Not in member directory,$300-500/yr
Halton Chamber,https://haltonchamber.org,Chamber,Medium,Missing,No,Not in member directory,$300-500/yr
ShopMilton,https://www.shopmilton.com,Local Directory,Medium,Missing,No,Not in directory,
Downtown Milton BIA,https://downtownmilton.com,Local Directory,Low,Missing,No,Not in directory,
Ontario Bar Association,https://www.oba.org,Legal Association,Medium,Event-Mention,No,Faraz Khan spoke at 2019 event - no directory listing,Membership
Canadian Bar Association,https://cba.org,Legal Association,Medium,Missing,No,Unrelated article mention only,
Thumbtack,https://www.thumbtack.com,Service Marketplace,Medium,Missing,No,No listing found,
Bark.com,https://www.bark.com,Service Marketplace,Medium,Missing,No,No listing found,
UpCounsel,https://www.upcounsel.com,Legal Marketplace,Medium,Missing,No,No listing found,
LawTrades,https://www.lawtrades.com,Legal Marketplace,Low,Missing,No,No listing found,
RateMyLawyer.ca,https://www.ratelawyer.ca,Review Site,Low,Missing,No,No listing found,
LawyerNow.ca,https://www.lawyernow.ca,Legal Directory,Low,Missing,No,No listing found,
CanLaw.com,https://www.canlaw.com,Legal Directory,Low,Missing,No,No listing found,
Juristries.com,https://www.juristries.com,Legal Directory,Low,Missing,No,No listing found,
ReferralKey.com,https://www.referralkey.com,Professional Network,Low,Missing,No,No listing found,
